,C-1H-RB1,C-1H-RB2,C-1H-RB3,T-1H-RB1,T-1H-RB2,T-1H-RB3
LOC114163783,0,0,0,0,2,0
LOC114192832,963,784,689,508,772,697
LOC114180619,87,37,54,60,79,119
LOC114182587,0,0,0,0,0,0
LOC114182598,0,0,0,0,0,0
LOC114164126,64,44,51,72,52,54
LOC114164133,866,502,609,496,556,477
LOC114164174,2,0,0,0,0,0
LOC114173722,154,99,94,128,130,107
LOC114163623,2,0,2,3,0,0
LOC114194175,176,102,135,135,152,161
LOC114187265,271,227,187,185,172,209
LOC114171176,0,2,2,13,4,4
LOC114194374,2,0,0,0,0,0
LOC114187851,177,102,99,111,145,141
LOC114166752,0,0,0,0,0,2
LOC114162924,22,13,16,17,33,45
LOC114180963,0,0,0,0,4,0
LOC114182635,0,0,0,0,0,0
LOC114182638,0,0,0,0,0,0
LOC114182649,0,0,0,0,0,0
LOC114175307,566,298,424,298,228,265
LOC114179223,80,51,50,44,23,40
LOC114186100,79,34,55,28,35,42
LOC114176922,120,82,71,112,117,116
LOC114182700,0,0,0,0,0,0
LOC114182757,0,0,0,0,0,0
LOC114173441,2,2,0,8,4,15
LOC114163003,1,8,3,10,9,6
LOC114178899,0,0,0,0,0,0
LOC114193392,394,433,367,235,327,302
LOC114182811,16,25,37,22,38,30
LOC114182858,0,0,0,0,0,0
LOC114182941,0,0,0,0,0,0
LOC114176244,143,176,226,142,194,235
LOC114176252,1381,882,891,1221,1140,1516
LOC114192671,900,872,466,642,751,929
TRNAM-CAU,0,0,0,0,0,0
LOC114176348,71,38,30,17,42,42
LOC114162538,1370,982,952,706,746,874
LOC114174763,1866,1599,1869,1543,2071,1988
LOC114195679,140,55,54,94,79,93
LOC114175951,1344,954,892,634,566,516
LOC114176033,0,0,0,0,0,2
TRNAQ-UUG,0,0,0,0,0,0
TRNAQ-UUG_1,0,0,0,0,0,0
LOC114162555,2,0,2,8,4,0
LOC114182962,0,0,0,0,0,0
LOC114174019,134,67,72,80,70,90
LOC114182972,0,0,0,0,0,0
LOC114179457,0,0,0,0,0,0
LOC114173148,12,7,4,20,18,22
LOC114187335,0,0,0,0,0,0
LOC114173140,2,4,2,0,2,2
LOC114195742,117,102,74,43,115,96
LOC114187341,0,0,0,0,0,0
LOC114184384,4113,3496,2663,1472,2598,2088
LOC114191504,389,406,423,397,372,354
LOC114177659,341,266,319,220,293,218
LOC114185820,8,12,14,22,10,14
LOC114185827,53,54,46,96,50,116
LOC114195494,14,8,6,8,6,18
LOC114180507,12,26,26,198,28,198
LOC114173957,0,0,0,0,0,0
LOC114175071,85,14,41,5,18,10
LOC114187364,0,0,0,0,0,0
LOC114187145,38,24,18,295,48,347
LOC114178476,94,63,52,30,69,55
LOC114193171,136,91,96,95,108,118
LOC114165225,398,199,214,173,154,202
LOC114187374,0,0,0,0,0,0
LOC114187382,0,0,0,0,0,0
LOC114163483,44,37,24,30,34,40
LOC114194753,0,0,0,0,0,0
LOC114193633,4490,1323,1200,2792,2428,1445
LOC114187391,0,0,0,0,0,0
LOC114187398,0,0,0,0,0,0
LOC114185516,0,0,0,0,0,0
LOC114187407,0,0,0,0,0,0
LOC114185510,14,0,3,6,6,1
LOC114185503,8,20,8,74,27,22
LOC114196166,1,0,0,0,0,0
LOC114181242,0,0,0,0,0,0
LOC114181251,0,0,0,0,0,0
LOC114187425,0,0,0,0,0,0
LOC114187135,147,163,143,124,201,156
LOC114187129,2438,2071,3037,1695,2292,2493
LOC114187119,3606,1944,2765,1965,2338,2357
TRNAQ-UUG_2,0,0,0,0,0,0
TRNAQ-UUG_3,0,0,0,0,0,0
TRNAQ-UUG_4,0,0,0,0,0,0
TRNAQ-UUG_5,0,0,0,0,0,0
LOC114181372,166,181,235,71,209,136
LOC114186146,404,381,459,303,461,398
LOC114165482,178,160,159,204,204,187
LOC114185162,1173,972,1343,906,1293,938
LOC114187450,0,0,0,0,0,0
LOC114187459,0,0,0,0,0,0
LOC114187470,0,0,0,0,0,0
LOC114191950,422,414,362,198,377,254
LOC114192815,1659,1028,718,812,809,1009
LOC114162108,4,1,4,4,2,10
LOC114162656,0,0,0,0,0,0
LOC114164766,10,12,10,103,42,87
