Geneid,C-1H-RB1,C-1H-RB2,C-1H-RB3,T-1H-RB1,T-1H-RB2,T-1H-RB3
LOC114182233,0,0,0,0,0,0
LOC114193573,638,1139,825,1031,1206,1108
LOC114193564,341,378,286,291,218,332
LOC114163460,23,23,27,30,24,50
LOC114182250,309,205,88,382,239,449
LOC114165142,5,6,0,17,9,12
LOC114173182,38,93,63,176,142,155
LOC114162197,12,10,13,15,16,26
LOC114179031,405,693,510,710,612,614
LOC114184488,45,30,32,80,50,69
LOC114182255,0,0,0,0,0,0
LOC114180288,795,537,398,927,656,836
LOC114180297,30,29,38,48,61,46
LOC114173662,125,181,136,180,156,210
LOC114176968,580,932,613,950,703,848
LOC114182348,0,0,0,0,0,0
LOC114195892,185,228,327,218,302,252
LOC114176946,10,22,9,18,14,19
LOC114186541,91,56,60,246,778,195
LOC114176275,0,0,0,0,0,2
LOC114176605,0,0,2,0,0,1
LOC114182081,2,0,0,0,0,0
LOC114175485,21,22,14,27,26,28
LOC114182398,0,0,0,0,0,0
LOC114182408,0,0,0,0,0,0
LOC114192657,1565,2667,1748,2186,1841,2844
LOC114182114,0,0,0,1,0,0
LOC114182110,0,5,6,12,10,6
LOC114178659,20,0,6,0,15,0
LOC114174529,188,137,104,186,179,197
LOC114174604,0,4,0,0,0,2
LOC114177996,0,0,0,0,0,0
LOC114182564,0,0,0,0,0,0
LOC114182579,0,0,0,0,0,0
LOC114173637,219,184,139,272,242,300
LOC114178083,158,142,160,179,170,152
TRNAL-CAA,0,0,0,0,0,0
TRNAL-CAA_1,0,0,0,0,0,0
TRNAL-CAA_2,0,0,0,0,0,0
LOC114165657,0,0,0,0,0,0
LOC114178024,123,139,153,145,146,172
LOC114189694,103,109,71,178,165,182
LOC114163953,166,170,168,82,142,123
LOC114189454,262,299,319,287,284,329
LOC114163783,2,0,0,0,0,0
LOC114192832,650,806,632,641,685,711
LOC114180619,58,54,65,81,109,95
LOC114182587,0,0,0,0,0,0
LOC114182598,0,0,0,0,0,0
LOC114164126,45,61,40,47,74,94
LOC114164133,523,705,625,618,559,604
LOC114164174,9,20,11,44,17,36
LOC114173722,154,253,152,331,206,243
LOC114163623,4,25,12,25,33,10
LOC114194175,116,150,60,199,144,127
LOC114187265,214,285,253,238,285,355
LOC114171176,2,9,2,20,18,25
LOC114194374,0,2,2,0,0,0
LOC114187851,115,202,128,162,103,140
LOC114166752,0,0,0,0,0,0
LOC114162924,10,14,25,30,24,35
LOC114180963,2,2,0,0,2,2
LOC114182635,16,30,18,34,8,18
LOC114182638,0,0,0,0,0,0
LOC114182649,0,0,0,0,0,0
LOC114175307,391,674,725,530,579,614
LOC114179223,40,118,108,131,83,69
LOC114186100,104,128,88,124,92,94
LOC114176922,96,145,130,114,157,176
LOC114182700,3,0,0,0,0,2
LOC114182757,0,0,0,0,0,0
LOC114173441,4,1,10,13,9,10
LOC114163003,5,3,0,5,9,11
LOC114178899,0,0,0,0,0,0
LOC114193392,453,291,248,350,269,389
LOC114182811,28,18,11,54,36,42
LOC114182858,0,0,0,0,0,0
LOC114182941,0,0,0,0,0,0
LOC114176244,215,203,144,231,186,280
LOC114176252,727,1566,1482,1400,1701,1567
LOC114192671,611,1009,675,996,1137,1196
TRNAM-CAU,0,0,0,0,0,0
LOC114176348,59,94,71,56,91,73
LOC114162538,1431,2674,2658,1706,2038,1932
LOC114174763,995,1937,1545,1740,2130,1878
LOC114195679,79,127,82,131,118,116
LOC114175951,1755,1918,1682,1285,1254,1708
LOC114176033,0,0,0,0,0,0
TRNAQ-UUG,0,0,0,0,0,0
TRNAQ-UUG_1,0,0,0,0,0,0
LOC114162555,2,10,10,7,14,8
LOC114182962,0,0,0,0,0,0
LOC114174019,103,128,57,108,130,129
LOC114182972,0,0,0,0,0,0
LOC114179457,0,0,0,0,0,0
LOC114173148,2,7,0,8,8,3
LOC114187335,0,0,0,0,0,0
LOC114173140,0,0,2,0,2,0
LOC114195742,66,66,46,104,93,94
LOC114187341,0,0,0,0,0,0
LOC114184384,3713,5353,4209,3417,3415,3675
LOC114191504,282,318,183,494,356,361
LOC114177659,232,399,290,455,415,454
LOC114185820,8,15,22,22,17,40
LOC114185827,33,63,34,53,68,39
LOC114195494,4,12,8,19,6,14
LOC114180507,66,53,50,135,110,119
LOC114173957,0,0,0,0,0,0
LOC114175071,54,41,34,42,30,60
LOC114187364,0,0,0,0,0,0
LOC114187145,20,22,16,75,48,172
LOC114178476,46,116,95,116,72,111
LOC114193171,144,195,117,185,162,157
LOC114165225,603,882,728,611,591,686
