,C-16H-RB1,C-16H-RB2,C-16H-RB3,T-16H-RB1,T-16H-RB2,T-16H-RB3
LOC114174615,0,0,0,0,0,0
LOC114174616,0,0,0,0,0,0
LOC114173983,38,65,72,36,64,91
LOC114169351,1946,6207,2678,2825,4904,5870
LOC114173648,173,217,215,207,247,409
LOC114174201,0,0,0,2,0,0
LOC114173054,524,745,512,592,678,712
LOC114174125,0,0,2,0,0,0
LOC114170853,49,103,69,96,77,105
LOC114174177,134,219,175,162,226,235
LOC114174617,0,0,0,0,0,0
LOC114174327,0,0,0,0,0,0
LOC114173031,26,64,40,18,32,77
LOC114174175,520,531,380,661,633,1014
LOC114174149,113,151,87,104,165,145
LOC114169845,30,36,28,40,61,52
LOC114167494,1457,4066,2381,3344,2156,2164
LOC114173187,0,0,2,0,2,2
LOC114174713,247,322,317,303,400,617
LOC114173875,197,194,312,129,128,136
LOC114173110,365,112,600,327,224,199
LOC114167132,854,1533,1805,1174,1148,1201
LOC114174178,116,178,98,105,131,171
LOC114173625,611,822,734,708,702,840
LOC114173298,264,311,260,216,249,386
LOC114174106,0,2,0,4,4,4
LOC114166452,39,31,33,50,49,58
LOC114172060,55,67,41,91,72,72
TRNAG-GCC_5,0,0,0,0,0,0
LOC114168715,99,152,184,161,136,114
LOC114169448,4,2,15,0,3,4
LOC114174112,322,500,403,437,404,608
LOC114166299,22,30,32,28,40,41
LOC114173900,552,612,524,452,488,535
LOC114174236,14,2,14,2,19,4
LOC114172502,2,2,10,14,6,35
LOC114173864,26,12,28,14,14,11
LOC114174120,35,42,56,75,75,60
LOC114170039,80,90,88,73,173,161
LOC114168972,22,30,23,27,30,29
LOC114173442,417,690,546,483,563,621
LOC114169504,45,92,47,35,37,21
LOC114170011,2,11,6,2,4,2
LOC114170019,80,108,85,86,91,92
LOC114173067,102,121,162,133,121,128
LOC114173069,0,0,0,2,0,0
LOC114173238,2,0,4,3,4,0
LOC114174225,0,0,2,2,4,2
LOC114169015,0,2,0,2,0,0
LOC114169025,0,0,0,0,0,0
LOC114173997,13,29,20,15,32,60
LOC114173489,14,27,10,8,15,29
LOC114174204,0,0,0,0,0,0
LOC114174110,0,0,0,0,0,0
LOC114174714,0,0,0,0,0,0
LOC114173472,278,337,321,247,484,613
LOC114173471,52,80,79,63,50,80
LOC114167428,111,125,143,146,133,150
LOC114173077,0,0,0,2,0,4
LOC114173560,10,14,12,18,12,12
TRNAE-UUC_3,0,0,0,0,0,0
LOC114174092,318,281,176,272,299,439
LOC114174124,178,244,172,187,291,439
LOC114173129,0,0,0,4,2,2
LOC114168785,42,14,5,25,14,171
LOC114172980,0,0,0,0,0,0
LOC114173087,0,0,0,0,0,0
LOC114173123,13,6,12,4,6,0
LOC114173121,1,4,1,3,1,6
LOC114173122,130,184,198,164,208,159
LOC114173124,64,133,85,82,136,162
LOC114170580,46,32,31,28,69,76
LOC114170294,110,167,196,148,211,191
LOC114170290,2,0,2,2,0,2
LOC114171778,34,76,101,96,57,59
LOC114171804,555,499,441,380,374,382
LOC114171788,99,150,154,119,149,177
LOC114171768,0,0,0,0,0,0
LOC114172153,30,53,22,39,50,51
LOC114173745,168,149,168,142,188,194
LOC114173730,376,723,518,542,594,683
LOC114167699,0,6,6,6,4,2
LOC114174274,0,0,0,0,0,0
LOC114172585,179,142,134,177,173,339
LOC114172618,0,0,0,0,0,0
LOC114172601,60,105,50,84,69,84
LOC114174200,0,0,0,0,0,0
LOC114174169,0,0,0,0,0,2
LOC114174052,259,210,124,260,196,323
LOC114166730,75,104,111,94,89,150
LOC114166747,19,25,22,42,28,32
LOC114166738,4,2,2,2,0,2
TRNAQ-CUG_1,0,0,0,0,0,0
LOC114173353,147,255,150,156,213,243
TRNAI-UAU_1,0,0,0,0,0,0
LOC114173503,182,357,305,334,396,504
LOC114173597,13941,19781,17349,18460,17348,23125
LOC114173324,0,0,0,0,0,0
LOC114173323,554,583,545,387,630,806
LOC114166425,69,87,49,68,46,60
LOC114173001,6,14,16,9,10,18
LOC114168610,40,28,16,26,62,133
LOC114173214,157,43,206,115,90,69
LOC114167409,1862,2952,2481,2412,2201,2772
LOC114174087,206,336,470,330,316,248
LOC114174088,1554,2370,2035,2082,1980,1793
LOC114174203,59,74,79,54,88,114
LOC114173501,75,108,88,68,77,124
LOC114173502,0,0,2,0,0,0
LOC114174619,0,0,0,0,0,0
LOC114173500,0,2,0,2,6,2
LOC114174620,0,0,0,0,0,0
LOC114174621,0,0,0,0,0,0
LOC114174622,0,0,0,0,0,0
LOC114174715,0,36,8,8,9,16
LOC114171661,214,527,395,333,366,424
LOC114174284,52,76,48,41,60,94
LOC114173980,0,0,0,0,0,0
LOC114173981,85,129,88,148,132,144
LOC114173982,368,433,296,348,454,637
LOC114172997,8,4,4,6,10,19
LOC114174251,52,44,49,49,46,76
LOC114173922,282,454,482,423,493,529
LOC114173057,0,0,0,0,0,0
LOC114174623,0,0,0,0,0,0
LOC114169829,9,20,20,19,20,22
LOC114173674,361,509,379,411,435,466
LOC114173259,0,0,0,0,0,0
LOC114173985,32,37,30,24,77,55
LOC114173493,52,117,62,58,86,120
LOC114173015,27,34,24,14,13,33
LOC114173017,152,230,143,208,226,274
LOC114173016,0,0,2,0,0,44
LOC114173879,49,76,73,42,77,97
LOC114173882,75,132,91,114,106,79
LOC114173883,88,162,146,158,137,204
LOC114173881,61,28,41,49,26,30
LOC114172427,18,36,6,0,0,0
LOC114169197,0,0,0,0,0,0
LOC114167257,20,48,59,42,34,38
LOC114166773,4,14,2,16,12,10
LOC114166762,17,8,4,13,18,20
LOC114172996,0,0,0,0,0,0
LOC114174063,0,0,0,0,0,0
LOC114174085,0,0,0,0,0,0
LOC114172982,0,6,0,2,0,3
LOC114174679,0,0,0,0,0,0
LOC114174260,111,114,108,136,137,188
LOC114171016,547,810,517,418,597,668
LOC114173602,45,111,54,84,72,79
LOC114173131,134,192,113,137,170,192
LOC114168805,121,106,148,126,88,77
LOC114174659,30,47,42,28,47,76
LOC114174660,40,71,66,77,104,109
LOC114173133,7,13,4,2,5,4
LOC114173165,2,2,11,12,4,18
LOC114173846,26791,30567,24882,26197,22808,19016
LOC114174772,16,7,6,19,6,35
LOC114174742,60,84,40,110,62,73
LOC114173921,17,43,42,22,25,29
LOC114173873,181,201,240,205,252,289
LOC114172818,246,332,346,354,399,345
LOC114172803,172,344,271,312,291,305
LOC114169033,100,97,89,121,120,156
LOC114169042,4,3,4,8,4,3
LOC114173297,10,12,4,8,22,14
LOC114174135,250,465,308,304,451,368
LOC114174136,138,511,361,218,662,520
LOC114173910,0,0,0,0,0,0
LOC114173911,0,0,0,0,0,0
LOC114173912,0,0,0,0,0,0
LOC114171998,0,4,2,5,8,4
LOC114174077,2,0,0,0,0,0
LOC114173954,182,234,178,164,215,279
LOC114169310,14,31,40,47,40,55
LOC114171652,4,4,4,6,2,12
LOC114171638,2,0,2,2,8,14
LOC114171000,2,2,0,2,2,4
LOC114172984,10,20,13,4,14,26
LOC114172983,7,0,8,2,6,0
LOC114173220,0,0,0,2,0,0
TRNAW-CCA,0,0,0,0,0,0
LOC114172308,68,116,90,99,85,169
LOC114172324,46,94,45,74,60,78
LOC114172340,444,621,555,529,570,655
TRNAK-UUU_4,0,0,0,0,0,0
LOC114167386,147,292,74,89,95,165
LOC114167015,76,108,75,92,94,113
TRNAL-UAG_6,0,0,0,0,0,0
LOC114172974,4,0,2,2,2,0
LOC114174194,10,14,4,14,6,10
LOC114171444,3,0,4,14,24,66
LOC114167343,33,52,58,64,24,47
LOC114168962,64,90,64,86,85,119
LOC114172034,6,0,8,10,8,4
LOC114166215,39,71,38,49,60,80
LOC114167533,0,0,0,0,0,0
LOC114173467,247,204,182,238,214,238
LOC114174670,0,0,0,0,0,0
LOC114168247,16,23,10,20,26,29
LOC114173989,0,0,0,0,0,0
LOC114174355,0,0,0,0,0,0
LOC114174067,713,838,770,767,758,841
LOC114171584,137,169,237,105,105,152
LOC114174193,0,0,0,0,0,0
LOC114172985,124,234,134,92,118,139
LOC114169837,313,417,378,344,361,439
LOC114174279,12,22,18,6,12,44
LOC114173522,2601,5527,3823,5446,5587,3590
LOC114173587,1350,2078,2082,1968,2018,1775
LOC114166873,114,244,145,159,155,237
LOC114173829,16,9,8,6,23,19
LOC114173585,29,34,31,24,22,36
LOC114173586,437,652,470,540,585,752
LOC114173893,0,2,0,0,2,0
LOC114174276,0,0,0,0,0,0
LOC114170495,0,2,2,2,4,6
LOC114173158,0,0,0,0,0,0
LOC114174127,127,109,49,113,291,465
LOC114172459,0,2,0,4,2,4
LOC114173751,230,218,176,224,150,204
LOC114167287,6,2,16,8,8,6
LOC114173033,0,0,0,0,0,0
LOC114173011,41,74,63,58,149,55
LOC114170984,8,18,14,11,17,7
LOC114173950,95,124,126,76,122,174
LOC114173086,565,582,476,517,496,695
LOC114173576,30,30,39,46,28,36
LOC114173855,688,1742,1720,907,1319,1072
LOC114173415,410,481,529,484,803,844
LOC114173416,195,532,494,253,327,284
LOC114166636,129,206,167,175,198,219
LOC114174625,16,14,6,4,6,18
LOC114174091,285,369,399,370,501,690
LOC114173065,95,74,84,65,79,102
LOC114173913,86,199,167,107,132,163
LOC114166781,0,0,0,0,0,0
LOC114173711,178,257,240,178,213,217
LOC114170571,0,0,4,0,0,0
LOC114167910,49,117,88,72,97,104
LOC114173905,87,147,121,100,100,122
LOC114173102,90,133,130,116,123,192
LOC114173103,10,8,8,16,18,4
LOC114173146,58,76,70,79,70,108
LOC114167177,0,0,0,0,0,0
LOC114173025,4,0,0,2,0,4
LOC114173753,102,184,208,206,205,190
LOC114173718,11,24,30,17,28,53
LOC114173717,24,44,101,70,72,72
LOC114174626,0,0,0,0,0,0
LOC114174265,2,0,0,0,0,4
LOC114166705,27,24,50,32,42,69
LOC114173032,127,105,99,80,102,210
LOC114174045,0,0,0,0,0,0
LOC114173823,108,119,103,114,154,168
LOC114173942,149,180,140,112,130,242
LOC114170885,6,6,0,0,2,8
LOC114174332,0,0,0,0,0,0
LOC114173750,52,73,56,70,73,69
LOC114166911,232,443,301,393,353,403
LOC114174365,0,0,0,0,0,0
LOC114166977,20,62,53,37,42,45
LOC114173089,4,0,2,2,4,2
LOC114173088,0,0,0,0,0,0
LOC114173315,147,211,252,202,140,271
LOC114173316,700,1248,928,650,638,661
LOC114173359,57,83,57,48,67,68
LOC114173357,118,172,124,100,125,155
LOC114174171,2,4,0,2,2,3
LOC114173349,935,1468,1250,1455,1706,1932
LOC114173347,182,329,250,241,351,484
LOC114173346,101,90,102,88,111,124
LOC114173348,29,26,30,19,34,50
LOC114174627,0,0,0,0,0,0
LOC114169980,1294,2287,2112,1854,1738,1612
LOC114174672,0,0,0,0,0,0
LOC114169879,59,58,36,26,21,28
LOC114174211,1584,2398,1222,1874,1796,1353
LOC114171717,449,407,451,478,283,342
LOC114171365,4,0,0,2,8,4
LOC114171878,0,0,0,0,0,0
LOC114173473,182,213,183,126,156,213
LOC114167631,0,0,0,0,0,0
LOC114174352,0,0,0,0,0,0
LOC114173370,2,2,2,0,7,6
LOC114173372,185,185,164,109,135,248
LOC114166206,653,632,556,512,639,876
LOC114167625,304,322,321,404,503,711
LOC114166340,0,0,0,0,0,0
LOC114169333,0,4,0,2,2,4
LOC114173812,148,202,161,157,211,243
LOC114173792,73,109,55,60,96,100
LOC114173714,68,119,92,85,106,128
LOC114174215,2,0,2,2,0,0
LOC114171516,229,193,279,190,245,291
LOC114174037,148,233,228,180,169,235
LOC114173636,154,231,143,110,174,245
LOC114174692,73,74,74,79,89,101
LOC114173923,122,175,238,246,254,183
LOC114173684,4,2,2,8,7,8
LOC114173685,24,23,17,17,18,36
LOC114174046,22,124,37,48,92,69
LOC114173728,334,851,509,557,631,620
LOC114174255,14,26,24,42,33,30
LOC114174248,300,620,421,352,523,427
LOC114174354,17,20,24,34,20,34
LOC114173076,4,8,0,0,2,10
LOC114174785,0,2,0,0,0,0
LOC114169862,2,2,4,0,0,0
LOC114174366,7,4,2,12,0,2
LOC114173267,0,0,0,0,2,0
LOC114173051,0,2,0,0,0,0
LOC114174185,660,486,397,461,460,685
LOC114167506,343,474,424,280,282,306
LOC114170281,816,721,734,513,634,730
LOC114174545,2,0,0,0,0,0
LOC114173479,313,505,387,327,520,623
LOC114171528,31,77,37,30,41,48
LOC114174117,6,4,4,4,0,0
LOC114169430,2,2,6,14,4,10
LOC114174270,66,123,91,59,72,92
LOC114173321,278,249,248,270,274,302
LOC114171280,0,0,0,0,0,0
LOC114174269,0,0,0,0,0,0
LOC114167032,3514,5567,5037,5195,4961,4083
LOC114174287,199,280,243,275,275,366
LOC114174312,0,0,0,2,0,2
LOC114171258,0,2,2,12,4,2
LOC114174064,4,12,8,6,18,14
LOC114166607,24,17,4,32,26,19
LOC114166596,137,168,196,163,203,202
LOC114166617,64,115,136,93,143,174
LOC114174628,69,128,88,110,85,100
LOC114169258,26,46,12,30,30,39
LOC114173215,340,390,357,517,409,548
LOC114174209,331,483,303,356,456,601
LOC114174702,6,4,4,4,2,8
LOC114173111,4954,4815,4044,3378,2961,3035
LOC114174667,0,2,0,0,2,0
LOC114168370,174,189,171,173,191,282
LOC114166398,0,0,0,0,0,0
LOC114173201,43,54,60,54,54,48
LOC114166972,171,293,200,193,309,249
LOC114174773,1,0,0,1,4,14
LOC114169807,139,116,130,170,161,203
LOC114169790,176,374,298,219,191,270
LOC114173651,169,269,234,232,309,373
LOC114173650,99,118,162,126,123,174
LOC114173649,205,435,325,419,401,404
LOC114173738,794,1717,1286,1146,1363,1259
TRNAK-CUU_6,0,0,0,0,0,0
LOC114169735,56,115,71,63,75,85
LOC114174146,186,314,323,379,293,259
LOC114173037,86,94,73,98,95,116
LOC114173176,2,0,0,0,0,0
LOC114174629,0,0,0,0,0,0
LOC114173177,0,0,1,0,0,0
LOC114173064,8,2,2,4,4,6
LOC114172651,201,253,187,215,147,160
LOC114172095,178,217,206,220,295,357
LOC114166415,0,0,0,0,0,0
LOC114174774,0,0,0,0,0,0
LOC114173189,2,0,0,0,0,19
LOC114172388,6,0,4,6,20,8
LOC114174250,0,2,0,2,2,2
LOC114174039,53,56,41,83,63,83
LOC114170518,172,206,235,192,234,270
TRNAK-CUU_7,0,0,0,0,0,0
LOC114170535,431,909,838,739,1150,1248
LOC114174208,0,0,0,0,0,0
LOC114171582,843,1305,1128,1095,1129,1160
LOC114170917,161,235,163,172,215,242
LOC114174082,98,152,155,100,111,141
LOC114172411,449,546,321,321,458,540
LOC114168117,54,141,81,85,76,95
LOC114171889,4,0,19,0,0,0
LOC114168835,32,42,36,34,26,29
LOC114170091,0,2,4,0,0,4
LOC114167115,8,8,6,12,8,24
TRNAE-CUC,0,0,0,0,0,0
LOC114173200,43,36,40,90,60,110
LOC114173752,526,712,550,639,732,886
LOC114173222,25,60,34,16,72,66
LOC114174134,170,208,200,181,172,239
LOC114174292,0,0,0,0,0,0
LOC114167767,90,56,91,76,73,149
LOC114173477,40,49,58,36,62,79
LOC114173478,749,131,156,134,101,245
LOC114174304,138,107,84,108,164,167
LOC114174197,0,0,0,0,0,0
LOC114171106,0,0,0,0,2,0
LOC114173754,58,66,68,82,65,80
LOC114173984,42,67,46,53,113,70
LOC114168571,187,213,196,201,244,360
LOC114169245,41,45,65,54,53,58
LOC114174189,2549,1914,1520,1886,1339,1975
LOC114174630,12,17,4,12,9,12
LOC114174188,2,2,2,2,1,0
LOC114168928,83,103,85,84,81,97
LOC114173232,0,2,0,0,0,4
LOC114173866,105,138,104,108,110,87
LOC114173868,38,54,35,42,63,71
TRNAE-CUC_1,0,0,0,0,0,0
LOC114173953,193,264,178,178,159,301
LOC114173800,251,305,258,307,322,384
LOC114173085,0,2,2,2,18,44
LOC114173043,15,29,5,12,39,18
LOC114174192,0,0,0,0,0,0
LOC114167378,68,74,81,85,71,140
LOC114173447,84,115,78,97,74,367
LOC114173445,2,0,0,0,0,0
LOC114173449,45,79,70,64,104,127
LOC114173448,39,20,32,26,29,122
LOC114173446,107,199,140,143,181,210
LOC114170006,136,417,132,215,331,336
LOC114173508,312,331,233,285,284,385
LOC114173100,0,2,0,0,0,0
LOC114173920,156,158,126,139,138,185
LOC114174123,2,0,4,0,0,5
LOC114174633,0,0,0,0,0,0
LOC114174224,939,894,819,1137,1322,2099
LOC114171470,4,7,3,7,6,14
LOC114171487,0,1,0,0,0,1
LOC114171250,102,134,176,91,134,152
LOC114169297,29,42,32,39,30,36
LOC114169303,613,960,1206,807,698,592
LOC114167468,635,606,390,548,569,630
LOC114167515,317,312,288,227,454,568
LOC114172257,13,8,4,13,14,12
LOC114174024,195,247,273,262,262,295
LOC114173009,1694,2154,1483,1653,1900,1924
LOC114167125,26,37,35,34,27,45
LOC114172021,9,24,18,14,16,8
LOC114174172,0,4,0,2,6,0
LOC114174353,0,0,0,0,0,0
LOC114173003,12,20,26,6,4,13
LOC114170154,123,215,73,113,155,158
LOC114170187,69,161,113,95,109,82
LOC114170163,61,145,81,90,87,135
LOC114171379,683,830,739,884,1111,1359
LOC114173791,418,644,512,466,537,618
LOC114174114,5,0,0,6,0,2
LOC114167557,6,20,6,8,18,28
LOC114169406,0,0,0,0,0,0
LOC114174681,114,102,100,107,129,272
LOC114173180,31,50,30,43,60,102
LOC114167671,95,299,233,213,234,231
LOC114174105,4,14,6,2,6,12
LOC114174165,169,237,184,160,253,338
LOC114173956,93,112,128,119,112,142
LOC114174233,0,0,0,0,0,0
LOC114174313,0,0,0,0,0,0
LOC114170662,152,411,503,317,345,389
LOC114170597,50,67,74,94,70,66
LOC114172989,29,8,43,26,12,34
LOC114174311,65,88,47,62,67,105
LOC114173697,215,320,232,239,301,281
LOC114173698,52,81,68,80,92,110
LOC114173273,0,2,0,0,2,2
LOC114167327,0,6,0,3,0,0
LOC114170260,620,838,611,665,628,548
LOC114173284,0,0,0,0,0,0
LOC114173283,0,0,0,0,0,0
LOC114173579,762,983,739,806,1096,1401
LOC114174191,57,162,117,125,139,197
LOC114172987,923,1147,1067,1001,1049,1126
LOC114174253,0,0,0,0,0,0
LOC114172969,36,38,54,24,59,44
LOC114173735,58,65,92,86,69,84
LOC114174684,278,393,285,344,376,498
LOC114173392,6,0,0,4,2,6
LOC114173393,19,38,36,24,50,49
LOC114172972,2,2,8,5,4,4
LOC114174176,175,248,224,209,247,275
LOC114171940,226,258,181,159,339,454
LOC114171130,2,2,4,2,3,2
LOC114174349,41,90,79,95,83,84
LOC114173253,10,24,14,28,36,26
LOC114174111,22,18,35,24,21,30
LOC114173374,473,419,289,399,370,519
LOC114173373,66,124,73,88,116,144
LOC114173249,0,0,0,0,0,0
LOC114173248,89,161,149,138,148,183
LOC114174094,117,109,141,140,126,107
LOC114174093,85,133,91,100,111,134
LOC114169130,225,456,334,284,309,303
LOC114174634,0,0,0,0,0,0
LOC114174635,0,0,0,0,0,0
LOC114172822,24,45,69,35,37,29
LOC114172829,606,887,1047,681,671,692
LOC114173090,10,2,2,0,4,4
LOC114168991,0,0,0,0,0,0
LOC114174636,0,0,0,0,0,0
LOC114173325,63,84,113,112,95,122
LOC114173327,0,0,0,0,2,4
LOC114174153,0,0,0,0,0,1
LOC114174152,1806,1649,1700,1721,1394,1317
LOC114166698,0,0,0,0,0,0
LOC114166689,68,88,60,71,111,115
LOC114173885,536,462,541,341,428,570
LOC114166160,0,0,0,0,0,0
LOC114173678,191,262,226,165,293,274
LOC114173763,377,418,401,517,404,469
LOC114173849,399,515,518,366,460,589
LOC114173149,14,20,22,20,16,24
LOC114173870,78,67,74,98,78,135
LOC114173701,50,42,68,59,54,80
LOC114174743,0,0,0,0,0,0
LOC114174275,138,196,138,155,136,192
LOC114174637,0,0,0,0,0,0
LOC114168039,0,0,0,0,0,0
LOC114172494,45,60,60,63,114,146
LOC114174335,48,100,51,72,46,69
LOC114174107,5,20,19,10,9,14
LOC114174057,0,2,0,0,2,0
LOC114169171,94,113,116,134,99,97
LOC114174151,82060,71951,69820,76011,60406,52815
LOC114173955,304,289,313,388,192,190
LOC114173204,8,5,10,8,6,14
LOC114173878,240,262,225,180,256,322
LOC114173657,2,5,2,0,4,17
LOC114173656,68,102,91,118,142,156
LOC114173786,165,155,279,273,186,243
LOC114173972,0,0,0,2,2,8
LOC114172280,0,6,4,4,22,108
LOC114171406,384,609,452,460,519,592
LOC114174018,60,120,83,74,139,150
LOC114174078,28,20,12,12,16,30
LOC114173807,11,23,22,34,10,21
LOC114174221,0,0,1,4,2,0
LOC114173075,143,270,76,206,233,231
LOC114173726,27,35,28,43,41,47
LOC114173727,0,2,0,0,0,0
LOC114173360,32,31,35,19,28,41
LOC114173721,0,4,4,2,0,2
LOC114174682,8,27,12,18,12,9
LOC114174230,6,4,2,0,0,0
LOC114172405,56,52,30,47,67,84
LOC114172250,19,26,22,21,18,18
LOC114173777,121,100,100,108,131,179
LOC114172511,32,79,54,87,81,108
LOC114174716,223,254,159,315,253,318
LOC114173153,0,0,0,0,0,0
LOC114170682,32,36,33,39,37,50
LOC114173944,0,0,0,0,0,0
LOC114173943,75,134,113,113,109,157
LOC114169767,8,12,16,10,2,6
LOC114173813,358,447,365,333,430,574
LOC114173676,64,111,98,57,72,181
LOC114174300,8,12,6,4,8,10
TRNAT-UGU,0,0,0,0,0,0
LOC114166192,0,0,0,0,0,0
LOC114173193,0,0,4,6,4,6
LOC114174026,10,14,16,27,36,90
LOC114173126,2,0,2,8,2,1
TRNAA-AGC_1,0,0,0,0,0,0
TRNAA-AGC_2,0,0,0,0,0,0
LOC114173019,203,474,363,307,290,291
LOC114173443,1054,2066,2046,1425,1752,1602
LOC114174264,0,0,0,0,0,0
LOC114173096,16,4,6,4,6,10
LOC114174639,2,6,0,1,0,2
LOC114173101,0,0,0,2,0,2
LOC114166277,6,15,8,16,12,19
LOC114174640,601,519,388,669,710,1261
LOC114173246,8,2,0,2,2,21
LOC114174243,1749,2202,1351,1684,1997,3224
LOC114174252,0,0,0,0,0,4
LOC114173292,0,0,0,0,0,0
LOC114174080,238,291,395,299,387,495
LOC114173869,109,135,114,105,114,162
LOC114168296,2,2,0,0,2,0
LOC114168314,34,28,30,16,28,51
LOC114168957,132,171,195,152,175,285
LOC114174669,29,47,66,30,47,49
LOC114174641,0,0,0,0,0,2
LOC114167097,2,0,2,0,2,2
LOC114173237,0,0,0,0,0,0
LOC114173236,2,0,0,2,0,2
LOC114173815,52,26,53,38,42,55
LOC114174642,0,4,0,0,0,0
LOC114172190,279,470,443,427,433,425
LOC114170869,255,213,171,223,187,224
LOC114166917,0,0,0,0,0,0
LOC114174643,0,0,0,0,0,0
LOC114174720,0,0,1,1,0,0
LOC114174337,0,0,2,0,0,4
LOC114173785,87,147,129,137,116,158
LOC114173036,17,18,14,16,16,28
LOC114173166,0,0,0,0,0,0
LOC114172705,17,18,12,2,13,17
LOC114174722,2,2,0,2,0,0
LOC114171626,0,0,0,0,0,0
LOC114172965,23,12,23,18,15,24
LOC114174036,0,0,0,0,2,6
LOC114173250,0,2,0,0,0,0
LOC114173363,362,355,332,302,345,379
LOC114173693,189,195,174,185,224,337
LOC114174308,0,2,8,2,0,2
LOC114173092,0,0,0,0,0,0
LOC114173058,34,76,34,41,47,60
LOC114170374,77,104,91,82,88,130
LOC114174666,0,0,2,0,0,0
LOC114174126,0,0,3,0,0,0
LOC114167168,22,42,40,36,38,53
LOC114173083,4,0,3,1,0,0
LOC114173082,783,997,750,716,792,1036
LOC114173319,770,1055,1144,1075,1041,1027
LOC114169888,32,71,59,78,69,79
LOC114174644,62,80,137,112,94,136
LOC114174041,402,412,345,422,424,580
LOC114174084,2,2,2,0,2,4
LOC114173779,42,84,39,46,76,71
LOC114168774,11,22,20,12,16,6
LOC114173345,354,401,306,301,404,484
LOC114174675,225,285,202,259,280,347
LOC114169000,113,115,99,89,128,244
LOC114173886,2339,2701,1797,1720,1561,1697
LOC114174232,47,79,49,45,74,111
LOC114174237,92,78,104,104,100,99
LOC114171302,0,0,0,0,0,0
LOC114174645,0,2,2,2,2,2
LOC114171306,8,15,12,10,9,7
LOC114171322,2,2,2,4,2,10
LOC114171309,18,18,58,42,34,23
TRNAA-CGC,0,0,0,0,0,0
LOC114174071,39,79,76,38,75,89
LOC114174072,61,79,34,38,53,93
LOC114173816,302,405,301,429,439,549
LOC114174697,573,230,232,336,318,395
LOC114173757,350,587,429,457,450,447
LOC114166703,96,100,73,117,85,195
LOC114174202,0,2,0,2,0,0
LOC114174317,10,45,32,26,36,37
LOC114174319,0,0,0,2,4,2
LOC114174318,1343,1534,990,1188,1099,1053
LOC114173460,305,529,882,471,546,312
LOC114173459,837,1063,1043,1049,920,946
LOC114170714,84,53,52,40,48,79
LOC114170701,26,63,34,46,45,54
LOC114170728,235,306,239,199,332,546
LOC114170706,134,132,139,147,106,229
LOC114170738,49,75,69,50,58,34
LOC114170752,0,0,0,0,0,0
LOC114173164,0,0,0,0,0,0
LOC114173682,173,162,153,127,223,156
LOC114173680,2,0,0,0,1,1
LOC114173803,566,652,689,619,724,913
LOC114173992,60,71,57,50,80,97
LOC114173787,37,40,44,53,49,56
LOC114173219,2,0,0,4,2,6
LOC114169620,13,27,22,11,32,28
LOC114171074,36,60,31,54,65,82
LOC114173384,39,231,35,70,106,92
LOC114173188,2,1,0,0,0,0
LOC114173291,0,0,0,0,0,0
LOC114174122,0,2,0,0,0,0
LOC114170100,10,5,7,8,4,10
LOC114172971,3280,3986,3201,2446,3159,2938
LOC114172970,401,527,415,395,478,541
LOC114174073,6,2,2,5,2,6
LOC114173510,4,0,0,2,6,1
LOC114173509,67,119,120,65,111,89
LOC114167710,319,364,347,305,382,390
LOC114166536,29,47,18,39,30,51
LOC114173073,57,72,66,83,74,120
LOC114173072,1434,2065,2202,1916,1749,1373
LOC114173959,46,66,57,50,62,85
TRNAT-AGU_3,0,0,0,0,0,0
LOC114167683,47,57,71,96,81,93
LOC114173388,153,159,164,209,213,252
LOC114173397,0,0,0,0,0,5
LOC114173399,0,0,0,0,1,0
LOC114173396,0,1,0,0,2,4
LOC114173400,2,1,0,2,2,26
LOC114173398,0,0,0,0,2,4
LOC114173395,0,0,0,0,0,2
LOC114173840,182,249,210,182,232,253
LOC114169821,121,215,183,163,222,234
LOC114169997,40,47,56,58,64,83
LOC114167926,223,288,239,214,293,297
LOC114167992,135,188,211,213,200,274
LOC114174012,76,130,114,110,129,136
LOC114173797,529,278,546,293,323,459
LOC114173839,53,69,62,48,68,83
LOC114173525,299,463,364,246,462,664
LOC114173862,119,188,139,181,192,205
LOC114173610,227,349,312,335,329,376
LOC114173496,149,173,162,198,208,140
LOC114173497,107,148,134,142,199,186
LOC114171546,1580,1686,1392,1395,1805,1972
LOC114173169,2,0,2,0,0,0
LOC114168562,105,125,98,87,111,191
LOC114172559,51,76,54,68,82,133
LOC114172978,78,135,126,95,147,163
LOC114172979,1295,1699,1963,1767,1620,1639
LOC114172977,631,1082,643,752,949,955
LOC114174734,10,20,25,10,16,38
LOC114174017,662,1022,901,749,800,790
LOC114173824,166,217,170,172,194,228
LOC114174227,4,8,10,16,8,6
LOC114173484,96,129,100,113,152,180
LOC114173486,2,8,8,2,6,16
LOC114173485,5,2,0,2,0,2
LOC114174646,0,0,0,0,0,0
LOC114173695,53,97,100,100,90,102
LOC114171141,10,2,12,12,12,10
LOC114171153,354,479,432,367,409,431
LOC114171158,599,574,645,383,342,376
LOC114169940,284,230,247,262,146,245
LOC114169932,516,1292,641,679,663,907
LOC114169923,183,399,202,259,347,317
LOC114173744,66,66,96,60,49,60
LOC114173743,52,106,123,110,91,65
LOC114173842,1050,1663,1774,1158,1419,1350
LOC114166406,0,0,0,0,0,0
LOC114174364,111,153,150,136,140,155
LOC114174648,546,761,485,701,772,1030
LOC114174257,1152,1046,849,1068,1214,2079
