,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logP
LOC114177318,61.29982422,-2.281901924,0.384994714,-5.927099367,3.08E-09,4.09E-07,8.510980812
LOC114169405,1537.203736,-1.020277305,0.172909112,-5.900656678,3.62E-09,4.74E-07,8.441222319
LOC114189774,50.1359513,2.780747035,0.472121616,5.889895617,3.86E-09,5.03E-07,8.412918343
LOC114183429,365.0740885,-1.101200815,0.188068244,-5.855325671,4.76E-09,6.11E-07,8.322323555
LOC114180371,345.9414164,-1.49361074,0.255352431,-5.849212916,4.94E-09,6.30E-07,8.306356986
LOC114185026,355.3269186,-1.834405625,0.313732724,-5.847033111,5.00E-09,6.31E-07,8.300667142
LOC114196196,2223.581267,-1.917461462,0.32788783,-5.847918975,4.98E-09,6.31E-07,8.302979229
LOC114195623,77.63402995,3.530640109,0.604106421,5.844400902,5.08E-09,6.37E-07,8.29379909
LOC114179358,516.8437749,-1.615011665,0.27755819,-5.818641731,5.93E-09,7.39E-07,8.226742179
LOC114170548,77.78871289,2.766829736,0.476864519,5.802129593,6.55E-09,8.06E-07,8.183905108
LOC114183533,52.3946508,3.414464428,0.588961347,5.79743381,6.73E-09,8.24E-07,8.171744018
LOC114162561,1586.529869,-1.706166661,0.294419293,-5.795023288,6.83E-09,8.31E-07,8.165504898
LOC114196090,48.82653059,3.717513932,0.64236269,5.787250707,7.15E-09,8.65E-07,8.145403988
LOC114186921,616.4953961,1.394546687,0.241419993,5.776434118,7.63E-09,9.18E-07,8.117473422
LOC114187541,193.7917566,2.479857999,0.429665731,5.771598286,7.85E-09,9.39E-07,8.105002366
LOC114192220,1234.953528,1.040287302,0.180375578,5.767340092,8.05E-09,9.57E-07,8.094029164
LOC114168995,308.9095026,1.891444269,0.32835083,5.760437001,8.39E-09,9.92E-07,8.076256469
LOC114170573,31.32708065,5.322392512,0.92451056,5.75698401,8.56E-09,1.01E-06,8.067373963
LOC114178008,146.8821739,1.513758533,0.263156312,5.752317016,8.80E-09,1.02E-06,8.055376563
LOC114162648,309.5710912,-1.240339568,0.215627687,-5.752227767,8.81E-09,1.02E-06,8.055147222
LOC114164481,396.2889792,-1.581965191,0.275117918,-5.750135073,8.92E-09,1.03E-06,8.049770623
LOC114165685,73.79594483,2.100276528,0.365333929,5.748922726,8.98E-09,1.03E-06,8.04665668
LOC114174957,65.25154918,2.04482875,0.355768658,5.747636006,9.05E-09,1.03E-06,8.043352388
LOC114177990,312.4546363,1.286910682,0.223956368,5.746256253,9.12E-09,1.04E-06,8.039809967
LOC114194041,326.0207733,1.250014996,0.21819972,5.728765342,1.01E-08,1.14E-06,7.994973067
LOC114163085,1322.133839,1.889828738,0.329862378,5.729143011,1.01E-08,1.14E-06,7.995939832
