"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logP"
"LOC114163010",795.099828859933,-1.92842710268131,0.321660817832567,-5.99521917427042,2.03211179562786e-09,2.85676473106981e-07,8.69205240323422
"LOC114181145",541.918735630978,-1.50368991419532,0.251697774992035,-5.97418834649175,2.31238527113355e-09,3.14454169615717e-07,8.63593980555094
"LOC114194664",614.410595273563,-1.26415778059605,0.213080077466214,-5.93278262157799,2.97843078591407e-09,3.99801489882117e-07,8.52601248777425
"LOC114177318",61.2998242224618,-2.28190192402408,0.384994713756978,-5.92709936652403,3.083324176568e-09,4.08609189921489e-07,8.51098081173368
"LOC114169405",1537.20373642506,-1.02027730529171,0.172909111815743,-5.90065667782129,3.62057610241949e-09,4.73771738282641e-07,8.44122231946819
"LOC114183429",365.074088540953,-1.10120081508953,0.188068243686487,-5.85532567063927,4.76076171266053e-09,6.11434618479105e-07,8.32232355544346
"LOC114180371",345.941416445016,-1.49361073998163,0.255352431403797,-5.84921291632322,4.93904535306749e-09,6.30440353471915e-07,8.30635698588613
"LOC114185026",355.326918559492,-1.83440562462815,0.313732723884336,-5.8470331112302,5.00417925177588e-09,6.31011839469387e-07,8.30066714209156
"LOC114196196",2223.58126713371,-1.91746146198027,0.327887829863257,-5.84791897515663,4.97760891035104e-09,6.31011839469387e-07,8.30297922880994
"LOC114179358",516.843774885126,-1.61501166494169,0.277558189610966,-5.81864173132612,5.93277422437895e-09,7.3914551205047e-07,8.22674217870992
"LOC114162561",1586.52986855724,-1.70616666089411,0.294419293262125,-5.79502328801221,6.83117012988049e-09,8.31165647498793e-07,8.1655048984526
"LOC114162648",309.571091178566,-1.24033956762593,0.215627686837237,-5.75222776730977,8.80750256329483e-09,1.02373686218945e-06,8.05514722175164
"LOC114164481",396.288979223306,-1.58196519112961,0.275117918279855,-5.75013507306495,8.91721786249161e-09,1.03073130470556e-06,8.04977062269064
"LOC114175812",1046.7638097644,-1.02360910345202,0.178960630520301,-5.71974461911556,1.06684280077137e-08,1.19337265122845e-06,7.97189956912956
